NOME;EMAIL;CPF;TELEFONE;LOGIN;SENHA;ID_ENDERECO;ID_TIPO_USUARIO;ID_INSTITUICAO
Karlis;Karlis@hotmail.com;004.147.443-06;(32)93126-5359;Karlis;Karlis@#$456;12;1;30
Dharmaraja;Dharmaraja@hotmail.com;587.455.378-95;(82)91175-4968;Dharmaraja;Dharmaraja@#$456;11;1;110
Luisa;Luisa@hotmail.com;664.472.465-56;(27)95732-5688;Luisa;Luisa@#$456;17;1;148
Tua;Tua@hotmail.com;441.213.563-22;(10)92765-3522;Tua;Tua@#$456;3;1;107
Mamdouh;Mamdouh@hotmail.com;022.661.835-83;(34)95984-5688;Mamdouh;Mamdouh@#$456;9;1;3
Yongmin;Yongmin@hotmail.com;250.588.737-37;(45)97603-5926;Yongmin;Yongmin@#$456;8;1;67
Fun;Fun@hotmail.com;261.211.028-37;(44)95081-3197;Fun;Fun@#$456;1;1;119
Aleksander;Aleksander@hotmail.com;536.132.436-10;(56)93920-8042;Aleksander;Aleksander@#$456;2;1;112
JiYoung;JiYoung@hotmail.com;205.723.402-90;(19)96546-8153;JiYoung;JiYoung@#$456;10;1;4
Lakshmi;Lakshmi@hotmail.com;086.010.217-35;(14)94275-1516;Lakshmi;Lakshmi@#$456;3;1;123
Anwar;Anwar@hotmail.com;204.106.474-97;(46)95445-9720;Anwar;Anwar@#$456;3;1;36
Weicheng;Weicheng@hotmail.com;278.852.803-57;(95)90541-0782;Weicheng;Weicheng@#$456;8;1;79
Zhilian;Zhilian@hotmail.com;815.725.212-10;(34)99965-0275;Zhilian;Zhilian@#$456;7;1;114
Arie;Arie@hotmail.com;401.471.670-86;(20)93890-0970;Arie;Arie@#$456;13;1;151
Nathalie;Nathalie@hotmail.com;357.450.783-67;(75)90967-8891;Nathalie;Nathalie@#$456;5;1;29
Jeanna;Jeanna@hotmail.com;328.543.070-20;(90)99402-2515;Jeanna;Jeanna@#$456;2;1;147
Chinho;Chinho@hotmail.com;662.726.402-18;(53)94644-3401;Chinho;Chinho@#$456;3;1;100
Suvo;Suvo@hotmail.com;102.235.427-25;(01)96895-7087;Suvo;Suvo@#$456;7;1;43
Branimir;Branimir@hotmail.com;587.701.710-17;(81)91046-2928;Branimir;Branimir@#$456;11;1;6
Mayumi;Mayumi@hotmail.com;178.300.884-97;(74)97182-1022;Mayumi;Mayumi@#$456;4;1;128
Selwyn;Selwyn@hotmail.com;831.034.384-19;(90)91582-3532;Selwyn;Selwyn@#$456;1;1;41
Munehiko;Munehiko@hotmail.com;285.443.087-59;(42)90150-4331;Munehiko;Munehiko@#$456;3;1;59
Takanari;Takanari@hotmail.com;501.028.113-93;(02)97347-6695;Takanari;Takanari@#$456;2;1;31
Kitty;Kitty@hotmail.com;203.010.622-42;(10)94349-7661;Kitty;Kitty@#$456;11;1;154
Jackson;Jackson@hotmail.com;034.768.100-03;(60)93629-0415;Jackson;Jackson@#$456;11;1;100
Cathie;Cathie@hotmail.com;753.088.648-70;(81)99224-9523;Cathie;Cathie@#$456;12;1;118
Gurbir;Gurbir@hotmail.com;056.267.320-20;(90)95841-2979;Gurbir;Gurbir@#$456;8;1;97
Masaki;Masaki@hotmail.com;287.740.281-97;(15)91066-2220;Masaki;Masaki@#$456;13;1;85
Ramachenga;Ramachenga@hotmail.com;037.220.044-38;(22)96712-9589;Ramachenga;Ramachenga@#$456;14;1;148
Nancy;Nancy@hotmail.com;743.653.508-03;(37)99409-2984;Nancy;Nancy@#$456;11;1;78
Eben;Eben@hotmail.com;824.226.537-23;(05)92674-9782;Eben;Eben@#$456;16;1;157
Kiyotoshi;Kiyotoshi@hotmail.com;453.455.758-27;(59)91797-6820;Kiyotoshi;Kiyotoshi@#$456;6;1;37
Shietung;Shietung@hotmail.com;556.255.733-95;(25)96176-0220;Shietung;Shietung@#$456;16;1;91
Huei;Huei@hotmail.com;865.013.281-28;(47)94861-7913;Huei;Huei@#$456;6;1;147
Bernd;Bernd@hotmail.com;177.168.115-25;(31)97076-3726;Bernd;Bernd@#$456;12;1;74
Leaf;Leaf@hotmail.com;708.347.361-79;(98)90693-8903;Leaf;Leaf@#$456;12;1;98
Uzi;Uzi@hotmail.com;255.418.631-63;(42)94693-8212;Uzi;Uzi@#$456;9;1;80
Marla;Marla@hotmail.com;274.251.688-39;(93)91569-7317;Marla;Marla@#$456;13;1;9
Rutger;Rutger@hotmail.com;883.203.380-18;(23)91621-6581;Rutger;Rutger@#$456;5;1;72
DAIDA;DAIDA@hotmail.com;711.018.863-90;(28)97660-8947;DAIDA;DAIDA@#$456;16;1;73
Xiahua;Xiahua@hotmail.com;272.187.077-77;(53)99412-6849;Xiahua;Xiahua@#$456;15;1;134
Volkmar;Volkmar@hotmail.com;641.308.436-72;(55)94629-5378;Volkmar;Volkmar@#$456;15;1;8
Khosrow;Khosrow@hotmail.com;773.781.002-18;(44)98528-9005;Khosrow;Khosrow@#$456;2;1;37
Rajmohan;Rajmohan@hotmail.com;731.333.822-84;(90)94272-7743;Rajmohan;Rajmohan@#$456;1;1;21
Suebskul;Suebskul@hotmail.com;708.415.818-94;(89)95859-5310;Suebskul;Suebskul@#$456;7;1;76
Mantis;Mantis@hotmail.com;750.173.825-42;(05)99850-8138;Mantis;Mantis@#$456;6;1;52
Wonhee;Wonhee@hotmail.com;313.256.553-92;(70)99976-4092;Wonhee;Wonhee@#$456;17;1;48
Aiman;Aiman@hotmail.com;231.854.535-90;(51)95469-6766;Aiman;Aiman@#$456;4;1;134
Marl;Marl@hotmail.com;502.674.815-51;(65)98649-0217;Marl;Marl@#$456;13;1;111
Arunas;Arunas@hotmail.com;858.227.436-09;(17)91712-7422;Arunas;Arunas@#$456;12;1;141
Xiaoqiu;Xiaoqiu@hotmail.com;387.882.206-56;(86)92829-5921;Xiaoqiu;Xiaoqiu@#$456;2;1;51
Halsur;Halsur@hotmail.com;436.052.762-45;(08)98081-2643;Halsur;Halsur@#$456;6;1;149
Zeydy;Zeydy@hotmail.com;160.061.384-50;(51)95780-0059;Zeydy;Zeydy@#$456;14;1;68
Marin;Marin@hotmail.com;810.632.200-92;(87)90729-9440;Marin;Marin@#$456;14;1;53
Quingbo;Quingbo@hotmail.com;810.660.140-43;(31)92438-9725;Quingbo;Quingbo@#$456;5;1;127
Brigham;Brigham@hotmail.com;648.714.478-98;(83)97848-4362;Brigham;Brigham@#$456;9;1;36
Bezalel;Bezalel@hotmail.com;435.740.702-84;(70)94609-1024;Bezalel;Bezalel@#$456;10;1;143
Hausi;Hausi@hotmail.com;224.817.850-61;(59)95483-6425;Hausi;Hausi@#$456;8;1;74
Salvador;Salvador@hotmail.com;476.720.784-37;(04)91985-6173;Salvador;Salvador@#$456;3;1;149
Sachem;Sachem@hotmail.com;882.131.600-96;(10)92013-3649;Sachem;Sachem@#$456;2;1;134
Brendon;Brendon@hotmail.com;087.418.343-05;(03)94408-6567;Brendon;Brendon@#$456;12;1;86
Mokhtar;Mokhtar@hotmail.com;675.720.214-09;(76)98320-0521;Mokhtar;Mokhtar@#$456;13;1;138
Gay;Gay@hotmail.com;205.251.251-91;(42)97763-2593;Gay;Gay@#$456;14;1;120
Geoffry;Geoffry@hotmail.com;531.313.456-67;(47)99345-9157;Geoffry;Geoffry@#$456;16;1;112
Masaru;Masaru@hotmail.com;412.284.470-39;(30)90316-6211;Masaru;Masaru@#$456;1;1;12
Kasidit;Kasidit@hotmail.com;471.607.567-20;(99)92228-2576;Kasidit;Kasidit@#$456;17;1;146
Junichi;Junichi@hotmail.com;444.021.774-56;(60)98209-7770;Junichi;Junichi@#$456;9;1;25
Terresa;Terresa@hotmail.com;175.533.242-48;(84)99412-6275;Terresa;Terresa@#$456;2;1;120
Hitomi;Hitomi@hotmail.com;280.417.213-97;(08)94800-5732;Hitomi;Hitomi@#$456;3;1;50
Elrique;Elrique@hotmail.com;486.767.004-94;(24)97115-9237;Elrique;Elrique@#$456;6;1;33
Marie;Marie@hotmail.com;388.786.485-90;(31)99571-3233;Marie;Marie@#$456;7;1;90
Danai;Danai@hotmail.com;200.414.103-43;(72)91879-2974;Danai;Danai@#$456;9;1;102
Neven;Neven@hotmail.com;834.408.576-46;(55)96048-4268;Neven;Neven@#$456;11;1;124
Arvind;Arvind@hotmail.com;701.543.543-84;(53)91774-0158;Arvind;Arvind@#$456;10;1;18
Gen;Gen@hotmail.com;152.543.012-28;(66)90680-3348;Gen;Gen@#$456;4;1;152
Xuedong;Xuedong@hotmail.com;482.855.460-20;(09)93945-6291;Xuedong;Xuedong@#$456;10;1;133
Dhritiman;Dhritiman@hotmail.com;665.415.201-86;(08)93494-9886;Dhritiman;Dhritiman@#$456;12;1;85
Noritoshi;Noritoshi@hotmail.com;886.051.284-02;(92)94957-4455;Noritoshi;Noritoshi@#$456;14;1;51
Hilary;Hilary@hotmail.com;342.633.087-35;(95)98510-4374;Hilary;Hilary@#$456;3;1;142
Adil;Adil@hotmail.com;720.565.351-73;(08)91589-4443;Adil;Adil@#$456;5;1;31
Duke;Duke@hotmail.com;054.326.280-40;(82)92676-2301;Duke;Duke@#$456;2;1;19
Shaleah;Shaleah@hotmail.com;402.461.843-10;(96)99002-7548;Shaleah;Shaleah@#$456;6;1;101
Uinam;Uinam@hotmail.com;086.632.236-17;(54)91585-0129;Uinam;Uinam@#$456;2;1;56
Ashish;Ashish@hotmail.com;011.388.375-71;(45)91175-2931;Ashish;Ashish@#$456;4;1;5
Baoqiu;Baoqiu@hotmail.com;454.331.027-69;(22)96591-9755;Baoqiu;Baoqiu@#$456;15;1;53
Domenico;Domenico@hotmail.com;457.450.053-00;(71)99311-5050;Domenico;Domenico@#$456;11;1;102
Tran;Tran@hotmail.com;282.172.524-83;(71)93242-6589;Tran;Tran@#$456;8;1;108
Xuejun;Xuejun@hotmail.com;875.681.028-82;(44)97644-1068;Xuejun;Xuejun@#$456;14;1;100
Danae;Danae@hotmail.com;711.303.286-94;(61)92773-3791;Danae;Danae@#$456;9;1;58
Mingzeng;Mingzeng@hotmail.com;561.070.450-23;(34)92508-4968;Mingzeng;Mingzeng@#$456;14;1;117
Mani;Mani@hotmail.com;133.055.261-06;(35)98869-4501;Mani;Mani@#$456;13;1;38
Anoosh;Anoosh@hotmail.com;755.031.724-00;(39)93630-5498;Anoosh;Anoosh@#$456;5;1;89
Lein;Lein@hotmail.com;721.185.734-05;(24)90099-7841;Lein;Lein@#$456;9;1;20
Yechiam;Yechiam@hotmail.com;613.365.848-74;(39)99245-2515;Yechiam;Yechiam@#$456;7;1;82
Sariel;Sariel@hotmail.com;708.064.253-18;(52)98673-6628;Sariel;Sariel@#$456;6;1;2
Lihong;Lihong@hotmail.com;630.863.500-67;(29)90278-6810;Lihong;Lihong@#$456;3;1;92
Demin;Demin@hotmail.com;700.216.381-79;(12)92658-8034;Demin;Demin@#$456;11;1;62
Mabry;Mabry@hotmail.com;458.618.533-39;(10)90467-7599;Mabry;Mabry@#$456;7;1;25
Gino;Gino@hotmail.com;101.884.215-21;(92)92890-9971;Gino;Gino@#$456;10;1;43
Duro;Duro@hotmail.com;333.760.107-30;(98)97867-1003;Duro;Duro@#$456;1;1;92
Barton;Barton@hotmail.com;618.132.264-74;(18)98954-8597;Barton;Barton@#$456;9;1;47
Martins;Martins@hotmail.com;853.800.317-81;(15)97256-9789;Martins;Martins@#$456;14;1;87
Valeri;Valeri@hotmail.com;867.414.645-73;(57)92393-4256;Valeri;Valeri@#$456;3;1;140
Aram;Aram@hotmail.com;008.648.008-19;(35)95831-7199;Aram;Aram@#$456;14;1;15
Dekang;Dekang@hotmail.com;680.547.286-54;(61)93310-1167;Dekang;Dekang@#$456;13;1;146
Mart;Mart@hotmail.com;571.226.604-00;(81)98151-7110;Mart;Mart@#$456;3;1;25
Alexius;Alexius@hotmail.com;723.512.375-36;(79)90862-8604;Alexius;Alexius@#$456;15;1;126
Sanjiv;Sanjiv@hotmail.com;335.021.842-32;(38)99491-0719;Sanjiv;Sanjiv@#$456;6;1;61
Herbert;Herbert@hotmail.com;868.542.163-20;(91)94186-2930;Herbert;Herbert@#$456;9;1;33
Anneli;Anneli@hotmail.com;650.471.615-36;(49)95671-6200;Anneli;Anneli@#$456;4;1;93
